A1464;8
A1465;26
A1466;24
A1467;24
A1468;8
A1469;0
A147;708
A1470;0
A1471;3
A1472;0
A1473;0
A1474;14
A1475;19
A1476;29
A1477;25
A1478;83
A1479;1
A1480;63
A1481;14
A1482;0
A1483;57
A1484;35
A1485;24
A1486;62
A1487;45
A1488;22
A1489;27
A1490;49
A1491;48
A1492;42
A1493;52
A1494;147
A1495;74
A1496;42
A1497;38
A1498;21
A1499;23
A15;0
A150;40
A1500;28
A1501;49
A1502;42
A1503;22
A1504;47
A1505;16
A1506;2
A1507;20
A1508;23
A1509;19
A151;217
A1510;17
A1511;0
A1512;23
A1513;63
A1514;0
A1515;1
A1516;0
A1517;0
A1518;1
A1519;0
A1520;1
A1521;4
A1522;50
A1523;296
A1524;320
A1525;18
A1526;33
A1527;65
A1528;23
A1529;63
A1530;173
A1531;189
A1532;46
A1533;41
A1534;79
A1535;167
A1536;217
A1537;0
A1538;34
A1539;40
A154;348
A1540;65
A1541;138
A1542;34
A1543;25
A1544;54
A1545;37
A1546;63
A1547;21
A1548;123
A1549;32
A1550;30
A1551;54
A1552;33
A1553;42
A1554;71
A1555;76
A1556;20
A1557;16
A1558;1
A1559;0
A156;0
A1560;113
A1561;0
A1562;0
A1563;49
A1564;50
A1565;49
A1566;49
A1567;50
A1568;32
A1569;31
A157;34
A1570;55
A1571;45
A1572;57
A1573;49
A1574;56
A1575;62
A1576;60
A1577;67
A1578;57
A1579;39
A158;0
A1580;47
A1581;52
A1582;96
A1583;54
A1584;55
A1585;45
A1586;117
A1587;113
A1588;127
A1589;45
A159;573
A1590;8
A1591;0
A1592;4
A1593;0
A1594;24
A1595;49
A1596;49
A1597;48
A1598;44
A1599;0
A16;0
A160;22
A1600;0
A1601;0
A1602;22
A1603;12
A1604;7
A1605;21
A1606;19
A1607;22
A1608;11
A1609;13
A161;0
A1610;14
A1611;23
A1612;21
A1613;21
A1614;13
A1615;14
A1616;11
A1617;21
A1618;20
A1619;24
A162;6
A1620;14
A1621;14
A1622;12
A1623;26
A1624;23
A1625;25
A1626;15
A1627;1788
A1628;3062
A1629;1848
A163;14
A1630;3312
A1631;2738
A1632;1899
A1633;1872
A1634;3504
A1635;1882
A1636;3502
A1637;3116
A1638;96
A1639;112
A164;37
A1640;125
A1641;107
A1642;93
A1643;103
A1644;105
A1645;108
A1646;108
A1647;91
A1648;72
A1649;99
A165;132
A1650;98
A1651;104
A1652;89
A1653;94
A1654;88
A1655;106
A1656;106
A1657;6
A1658;12
A1659;5
A1660;0
A1661;0
A1662;2
A1663;4
A1664;5
A1665;0
A1666;0
A1667;7
A1668;0
A1669;1
A167;81
A1670;0
A1671;0
A1672;0
A1673;0
A1674;2
A1675;0
A1676;67
A1677;153
A1678;152
A1679;130
A1680;0
A1681;0
A1682;0
A1683;0
A1684;0
A1685;0
